r,t,y,TotalCapacityAnnual
REGION,EGWA00000X,2015, 99999
REGION,EGWA00000X,2016, 199998
REGION,EGWA00000X,2017, 299997
REGION,EGWA00000X,2018, 399996
REGION,EGWA00000X,2019, 499995
REGION,EGWA00000X,2020, 599994
REGION,EGWA00000X,2021, 699993
REGION,EGWA00000X,2022, 799992
REGION,EGWA00000X,2023, 899991
REGION,EGWA00000X,2024, 999990
REGION,EGWA00000X,2025, 1099989
REGION,EGWA00000X,2026, 1199988
REGION,EGWA00000X,2027, 1299987
REGION,EGWA00000X,2028, 1399986
REGION,EGWA00000X,2029, 1499985
REGION,EGWA00000X,2030, 1599984
REGION,EGWA00000X,2031, 1699983
REGION,EGWA00000X,2032, 1799982
REGION,EGWA00000X,2033, 1899981
REGION,EGWA00000X,2034, 1999980
REGION,EGWA00000X,2035, 2099979
REGION,EGWA00000X,2036, 2199978
REGION,EGWA00000X,2037, 2299977
REGION,EGWA00000X,2038, 2399976
REGION,EGWA00000X,2039, 2499975
REGION,EGWA00000X,2040, 2599974
REGION,EGWA00000X,2041, 2699973
REGION,EGWA00000X,2042, 2799972
REGION,EGWA00000X,2043, 2899971
REGION,EGWA00000X,2044, 2999970
REGION,EGWA00000X,2045, 3099969
REGION,EGWA00000X,2046, 3199968
REGION,EGWA00000X,2047, 3299967
REGION,EGWA00000X,2048, 3399966
REGION,EGWA00000X,2049, 3499965
REGION,EGWA00000X,2050, 3599964
REGION,EGWA00000X,2051, 3699963
REGION,EGWA00000X,2052, 3799962
REGION,EGWA00000X,2053, 3899961
REGION,EGWA00000X,2054, 3999960
REGION,EGWA00000X,2055, 4099959
REGION,EGWA00000X,2056, 4199958
REGION,EGWA00000X,2057, 4299957
REGION,EGWA00000X,2058, 4399956
REGION,EGWA00000X,2059, 4499955
REGION,EGWA00000X,2060, 4599954
REGION,EGWA00000X,2061, 4699953
REGION,EGWA00000X,2062, 4799952
REGION,EGWA00000X,2063, 4899951
REGION,EGWA00000X,2064, 4999950
REGION,EGWA00000X,2065, 5099949
REGION,EGWA00000X,2066, 5199948
REGION,EGWA00000X,2067, 5299947
REGION,EGWA00000X,2068, 5399946
REGION,EGWA00000X,2069, 5499945
REGION,EGWA00000X,2070, 5599944
REGION,EGFW00P00X,2015, 99999
REGION,EGFW00P00X,2016, 99999
REGION,EGFW00P00X,2017, 99999
REGION,EGFW00P00X,2018, 99999
REGION,EGFW00P00X,2019, 99999
REGION,EGFW00P00X,2020, 99999
REGION,EGFW00P00X,2021, 99999
REGION,EGFW00P00X,2022, 99999
REGION,EGFW00P00X,2023, 99999
REGION,EGFW00P00X,2024, 99999
REGION,EGFW00P00X,2025, 99999
REGION,EGFW00P00X,2026, 99999
REGION,EGFW00P00X,2027, 99999
REGION,EGFW00P00X,2028, 99999
REGION,EGFW00P00X,2029, 99999
REGION,EGFW00P00X,2030, 99999
REGION,EGFW00P00X,2031, 99999
REGION,EGFW00P00X,2032, 99999
REGION,EGFW00P00X,2033, 99999
REGION,EGFW00P00X,2034, 99999
REGION,EGFW00P00X,2035, 99999
REGION,EGFW00P00X,2036, 99999
REGION,EGFW00P00X,2037, 99999
REGION,EGFW00P00X,2038, 99999
REGION,EGFW00P00X,2039, 99999
REGION,EGFW00P00X,2040, 99999
REGION,EGFW00P00X,2041, 99999
REGION,EGFW00P00X,2042, 99999
REGION,EGFW00P00X,2043, 99999
REGION,EGFW00P00X,2044, 99999
REGION,EGFW00P00X,2045, 99999
REGION,EGFW00P00X,2046, 99999
REGION,EGFW00P00X,2047, 99999
REGION,EGFW00P00X,2048, 99999
REGION,EGFW00P00X,2049, 99999
REGION,EGFW00P00X,2050, 99999
REGION,EGFW00P00X,2051, 99999
REGION,EGFW00P00X,2052, 99999
REGION,EGFW00P00X,2053, 99999
REGION,EGFW00P00X,2054, 99999
REGION,EGFW00P00X,2055, 99999
REGION,EGFW00P00X,2056, 99999
REGION,EGFW00P00X,2057, 99999
REGION,EGFW00P00X,2058, 99999
REGION,EGFW00P00X,2059, 99999
REGION,EGFW00P00X,2060, 99999
REGION,EGFW00P00X,2061, 99999
REGION,EGFW00P00X,2062, 99999
REGION,EGFW00P00X,2063, 99999
REGION,EGFW00P00X,2064, 99999
REGION,EGFW00P00X,2065, 99999
REGION,EGFW00P00X,2066, 99999
REGION,EGFW00P00X,2067, 99999
REGION,EGFW00P00X,2068, 99999
REGION,EGFW00P00X,2069, 99999
REGION,EGFW00P00X,2070, 99999
REGION,EGCO00P00X,2015, 99999
REGION,EGCO00P00X,2016, 99999
REGION,EGCO00P00X,2017, 99999
REGION,EGCO00P00X,2018, 99999
REGION,EGCO00P00X,2019, 99999
REGION,EGCO00P00X,2020, 99999
REGION,EGCO00P00X,2021, 99999
REGION,EGCO00P00X,2022, 99999
REGION,EGCO00P00X,2023, 99999
REGION,EGCO00P00X,2024, 99999
REGION,EGCO00P00X,2025, 99999
REGION,EGCO00P00X,2026, 99999
REGION,EGCO00P00X,2027, 99999
REGION,EGCO00P00X,2028, 99999
REGION,EGCO00P00X,2029, 99999
REGION,EGCO00P00X,2030, 99999
REGION,EGCO00P00X,2031, 99999
REGION,EGCO00P00X,2032, 99999
REGION,EGCO00P00X,2033, 99999
REGION,EGCO00P00X,2034, 99999
REGION,EGCO00P00X,2035, 99999
REGION,EGCO00P00X,2036, 99999
REGION,EGCO00P00X,2037, 99999
REGION,EGCO00P00X,2038, 99999
REGION,EGCO00P00X,2039, 99999
REGION,EGCO00P00X,2040, 99999
REGION,EGCO00P00X,2041, 99999
REGION,EGCO00P00X,2042, 99999
REGION,EGCO00P00X,2043, 99999
REGION,EGCO00P00X,2044, 99999
REGION,EGCO00P00X,2045, 99999
REGION,EGCO00P00X,2046, 99999
REGION,EGCO00P00X,2047, 99999
REGION,EGCO00P00X,2048, 99999
REGION,EGCO00P00X,2049, 99999
REGION,EGCO00P00X,2050, 99999
REGION,EGCO00P00X,2051, 99999
REGION,EGCO00P00X,2052, 99999
REGION,EGCO00P00X,2053, 99999
REGION,EGCO00P00X,2054, 99999
REGION,EGCO00P00X,2055, 99999
REGION,EGCO00P00X,2056, 99999
REGION,EGCO00P00X,2057, 99999
REGION,EGCO00P00X,2058, 99999
REGION,EGCO00P00X,2059, 99999
REGION,EGCO00P00X,2060, 99999
REGION,EGCO00P00X,2061, 99999
REGION,EGCO00P00X,2062, 99999
REGION,EGCO00P00X,2063, 99999
REGION,EGCO00P00X,2064, 99999
REGION,EGCO00P00X,2065, 99999
REGION,EGCO00P00X,2066, 99999
REGION,EGCO00P00X,2067, 99999
REGION,EGCO00P00X,2068, 99999
REGION,EGCO00P00X,2069, 99999
REGION,EGCO00P00X,2070, 99999
REGION,EGLF00P00X,2015, 99999
REGION,EGLF00P00X,2016, 199998
REGION,EGLF00P00X,2017, 299997
REGION,EGLF00P00X,2018, 399996
REGION,EGLF00P00X,2019, 499995
REGION,EGLF00P00X,2020, 599994
REGION,EGLF00P00X,2021, 699993
REGION,EGLF00P00X,2022, 799992
REGION,EGLF00P00X,2023, 899991
REGION,EGLF00P00X,2024, 999990
REGION,EGLF00P00X,2025, 1099989
REGION,EGLF00P00X,2026, 1199988
REGION,EGLF00P00X,2027, 1299987
REGION,EGLF00P00X,2028, 1399986
REGION,EGLF00P00X,2029, 1499985
REGION,EGLF00P00X,2030, 1599984
REGION,EGLF00P00X,2031, 1699983
REGION,EGLF00P00X,2032, 1799982
REGION,EGLF00P00X,2033, 1899981
REGION,EGLF00P00X,2034, 1999980
REGION,EGLF00P00X,2035, 2099979
REGION,EGLF00P00X,2036, 2199978
REGION,EGLF00P00X,2037, 2299977
REGION,EGLF00P00X,2038, 2399976
REGION,EGLF00P00X,2039, 2499975
REGION,EGLF00P00X,2040, 2599974
REGION,EGLF00P00X,2041, 2699973
REGION,EGLF00P00X,2042, 2799972
REGION,EGLF00P00X,2043, 2899971
REGION,EGLF00P00X,2044, 2999970
REGION,EGLF00P00X,2045, 3099969
REGION,EGLF00P00X,2046, 3199968
REGION,EGLF00P00X,2047, 3299967
REGION,EGLF00P00X,2048, 3399966
REGION,EGLF00P00X,2049, 3499965
REGION,EGLF00P00X,2050, 3599964
REGION,EGLF00P00X,2051, 3699963
REGION,EGLF00P00X,2052, 3799962
REGION,EGLF00P00X,2053, 3899961
REGION,EGLF00P00X,2054, 3999960
REGION,EGLF00P00X,2055, 4099959
REGION,EGLF00P00X,2056, 4199958
REGION,EGLF00P00X,2057, 4299957
REGION,EGLF00P00X,2058, 4399956
REGION,EGLF00P00X,2059, 4499955
REGION,EGLF00P00X,2060, 4599954
REGION,EGLF00P00X,2061, 4699953
REGION,EGLF00P00X,2062, 4799952
REGION,EGLF00P00X,2063, 4899951
REGION,EGLF00P00X,2064, 4999950
REGION,EGLF00P00X,2065, 5099949
REGION,EGLF00P00X,2066, 5199948
REGION,EGLF00P00X,2067, 5299947
REGION,EGLF00P00X,2068, 5399946
REGION,EGLF00P00X,2069, 5499945
REGION,EGLF00P00X,2070, 5599944
REGION,EGHF00P00X,2015, 99999
REGION,EGHF00P00X,2016, 199998
REGION,EGHF00P00X,2017, 299997
REGION,EGHF00P00X,2018, 399996
REGION,EGHF00P00X,2019, 499995
REGION,EGHF00P00X,2020, 599994
REGION,EGHF00P00X,2021, 699993
REGION,EGHF00P00X,2022, 799992
REGION,EGHF00P00X,2023, 899991
REGION,EGHF00P00X,2024, 999990
REGION,EGHF00P00X,2025, 1099989
REGION,EGHF00P00X,2026, 1199988
REGION,EGHF00P00X,2027, 1299987
REGION,EGHF00P00X,2028, 1399986
REGION,EGHF00P00X,2029, 1499985
REGION,EGHF00P00X,2030, 1599984
REGION,EGHF00P00X,2031, 1699983
REGION,EGHF00P00X,2032, 1799982
REGION,EGHF00P00X,2033, 1899981
REGION,EGHF00P00X,2034, 1999980
REGION,EGHF00P00X,2035, 2099979
REGION,EGHF00P00X,2036, 2199978
REGION,EGHF00P00X,2037, 2299977
REGION,EGHF00P00X,2038, 2399976
REGION,EGHF00P00X,2039, 2499975
REGION,EGHF00P00X,2040, 2599974
REGION,EGHF00P00X,2041, 2699973
REGION,EGHF00P00X,2042, 2799972
REGION,EGHF00P00X,2043, 2899971
REGION,EGHF00P00X,2044, 2999970
REGION,EGHF00P00X,2045, 3099969
REGION,EGHF00P00X,2046, 3199968
REGION,EGHF00P00X,2047, 3299967
REGION,EGHF00P00X,2048, 3399966
REGION,EGHF00P00X,2049, 3499965
REGION,EGHF00P00X,2050, 3599964
REGION,EGHF00P00X,2051, 3699963
