,y,"Coal imports (inland transport, maritime freight)",Coal extraction (mining)
0,2015.0,0.0,10.9308
1,2016.0,0.0,10.2901
2,2017.0,0.0,13.3853
3,2018.0,0.0,13.4213
4,2019.0,0.0,14.7779
5,2020.0,0.0,15.7455
6,2021.0,0.0,15.553
7,2022.0,0.0,15.3638
8,2023.0,0.0,15.1778
9,2024.0,0.0,14.995
10,2025.0,0.0,185.3994
11,2026.0,0.0,14.6383
12,2027.0,0.0,10.5875
13,2028.0,0.0,10.4911
14,2029.0,0.0,10.3956
15,2030.0,0.0,10.301
16,2031.0,0.0,8.8754
17,2032.0,0.0,7.647
18,2033.0,0.0,6.5887
19,2034.0,0.0,10.393
20,2035.0,1.9028,22.086
21,2036.0,16.3192,18.9559
22,2037.0,28.6606,0.0
23,2038.0,23.1952,0.0
24,2039.0,21.2882,0.0
25,2040.0,2.3224,0.0
26,2041.0,11.1333,0.0
27,2042.0,1.8566,0.0
28,2043.0,9.0126,0.0
29,2044.0,4.0765,0.0
30,2045.0,4.2209,0.0
31,2046.0,2.3875,0.0
32,2047.0,1.0608,0.0
33,2048.0,91.5937,0.0
34,2049.0,68.5423,0.0
35,2050.0,55.3018,0.0
36,2051.0,62.6185,0.0
37,2052.0,65.2414,0.0
38,2053.0,66.3241,0.0
39,2054.0,65.0392,0.0
40,2055.0,34.6145,0.0
41,2056.0,0.3874,0.0
42,2057.0,0.3463,0.0
43,2058.0,0.3097,0.0
44,2059.0,0.2769,0.0
45,2060.0,0.2475,0.0
46,2061.0,0.2213,0.0
47,2062.0,0.1979,0.0
48,2063.0,0.1769,0.0
49,2064.0,0.1582,0.0
50,2065.0,0.1414,0.0
51,2066.0,0.1265,0.0
52,2067.0,39.682,0.0
53,2068.0,145.8045,0.0
54,2069.0,257.1869,0.0
55,2070.0,307.9207,0.0
