,y,Geothermal power plant - MDT cooling (new),Oil fired gas turbine (SCGT) - MDT cooling (old),Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Light Fuel Oil stand alone (1kW),Light Fuel Oil power plant - MDT cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (single cycle) - Air cooling (new),Solar PV (roof top),Solar PV with storage
0,2015.0,0.0,0.012,0.06890147070153857,0.0434928679617151,0.0013122400364534172,0.01989,0.0,0.0,0.0,0.0
1,2016.0,0.0,0.012,0.06890147070153857,0.0434928679617151,0.0013122400364534172,0.01989,0.0,0.0,0.0,0.0
2,2017.0,0.0,0.012,0.08784099914816565,0.07714634803279569,0.0013122400364534172,0.01989,0.0,0.0,0.0,0.0
3,2018.0,0.0,0.012,0.10851000167634955,0.1496985735371154,0.0013122400364534172,0.01989,0.0,0.0,0.0,0.0
4,2019.0,0.0,0.012,0.12267521964069746,0.22875458360527096,0.0013122400364534172,0.01989,0.0,0.0,0.0,0.0
5,2020.0,0.0,0.012,0.12267521964069746,0.22875458360527096,0.0013122400364534172,0.01989,0.07110034882990636,0.0,0.0,0.0
6,2021.0,0.0,0.0114,0.12267521964069746,0.22875458360527096,0.0013122400364534172,0.0188955,0.09006037523094365,0.0,0.0,0.0
7,2022.0,0.0,0.0108,0.12267521964069746,0.22875458360527096,0.0013122400364534172,0.017901,0.11023841494273282,0.0,0.0,0.0
8,2023.0,0.0,0.0102,0.12267521964069746,0.22875458360527096,0.0013122400364534172,0.0169065,0.1222852016491828,0.0,0.0,0.0
9,2024.0,0.03608731242900897,0.0096,0.12267521964069746,0.22875458360527096,0.0013122400364534172,0.015912,0.1222852016491828,0.0,0.0,0.0
10,2025.0,0.06306204216121573,0.009,0.12267521964069746,0.22875458360527096,0.0,0.0149175,0.1222852016491828,0.0,0.0,0.0
11,2026.0,0.09180468368211187,0.0084,0.12267521964069746,0.22875458360527096,0.0,0.013923,0.1222852016491828,0.0,0.0,0.0
12,2027.0,0.12243541329953589,0.0078,0.12267521964069746,0.22875458360527096,0.0,0.0129285,0.1222852016491828,0.0,0.0,0.0
13,2028.0,0.15507879004305522,0.0072,0.12267521964069746,0.22875458360527096,0.0,0.011934,0.1222852016491828,0.0,0.0,0.0
