r,t,y,AnnualFixedOperatingCost
REGION,EGBMCHC04N,2021, 8.98912
REGION,EGBMCHC04N,2022, 17.70048
REGION,EGBMCHC04N,2023, 2.6134080000000004e+01
REGION,EGBMCHC04N,2024, 34.28992
REGION,EGBMCHC04N,2025, 42.168
REGION,EGBMCHC04N,2026, 4.9768319999999996e+01
REGION,EGBMCHC04N,2027, 57.09088
REGION,EGBMCHC04N,2028, 64.13568
REGION,EGBMCHC04N,2029, 7.0902719999999988e+01
REGION,EGBMCHC04N,2030, 77.392
REGION,EGBMCHC04N,2031, 76.7088
REGION,EGBMCHC04N,2032, 76.0256
REGION,EGBMCHC04N,2033, 75.3424
REGION,EGBMCHC04N,2034, 74.6592
REGION,EGBMCHC04N,2035, 73.976
REGION,EGBMCHC04N,2036, 73.2928
REGION,EGBMCHC04N,2037, 72.6096
REGION,EGBMCHC04N,2038, 71.9264
REGION,EGBMCHC04N,2039, 71.2432
REGION,EGBMCHC04N,2040, 70.56
REGION,EGBMCHC04N,2041, 77.616
REGION,EGBMCHC04N,2042, 84.672
REGION,EGBMCHC04N,2043, 88.2
REGION,EGBMCHC04N,2044, 88.2
REGION,EGBMCHC04N,2045, 88.2
REGION,EGBMCHC04N,2046, 8.8200000000000017e+01
REGION,EGBMCHC04N,2047, 8.8200000000000017e+01
REGION,EGBMCHC04N,2048, 8.8200000000000017e+01
REGION,EGBMCHC04N,2049, 8.8200000000000017e+01
REGION,EGBMCHC04N,2050, 8.6250000000000014e+01
REGION,EGBMCHC04N,2051, 9.3150000000000020e+01
REGION,EGBMCHC04N,2052, 1.0005000000000003e+02
REGION,EGBMCHC04N,2053, 1.0350000000000001e+02
REGION,EGBMCHC04N,2054, 103.5
REGION,EGBMCHC04N,2055, 103.5
REGION,EGBMCHC04N,2056, 103.5
REGION,EGBMCHC04N,2057, 103.5
REGION,EGBMCHC04N,2058, 103.5
REGION,EGBMCHC04N,2059, 103.5
REGION,EGBMCHC04N,2060, 100.5
REGION,EGBMCHC04N,2061, 1.0019999999999999e+02
REGION,EGBMCHC04N,2062, 9.9899999999999991e+01
REGION,EGBMCHC04N,2063, 9.9600000000000009e+01
REGION,EGBMCHC04N,2064, 9.9300000000000011e+01
REGION,EGBMCHC04N,2065, 9.9000000000000014e+01
REGION,EGBMCHC04N,2066, 98.7
REGION,EGBMCHC04N,2067, 98.4
REGION,EGBMCHC04N,2068, 9.8100000000000023e+01
REGION,EGBMCHC04N,2069, 97.8
REGION,EGBMCHC04N,2070, 97.5
REGION,EGBMCHP04O,2015, 149.76
REGION,EGBMCHP04O,2016, 149.76
REGION,EGBMCHP04O,2017, 149.76
REGION,EGBMCHP04O,2018, 149.76
REGION,EGBMCHP04O,2019, 149.76
REGION,EGBMCHP04O,2020, 149.76
REGION,EGBMCHP04O,2021, 142.272
REGION,EGBMCHP04O,2022, 134.784
REGION,EGBMCHP04O,2023, 127.296
REGION,EGBMCHP04O,2024, 119.808
REGION,EGBMCHP04O,2025, 74.88
REGION,EGBMCHP04O,2026, 67.392
REGION,EGBMCHP04O,2027, 59.904
REGION,EGBMCHP04O,2028, 52.416
REGION,EGBMCHP04O,2029, 44.928
REGION,EGBMCHP04O,2030, 37.44
REGION,EGBMCHP04O,2031, 29.952
REGION,EGBMCHP04O,2032, 22.464
REGION,EGBMCHP04O,2033, 14.976
REGION,EGBMCHP04O,2034, 7.48800000000001
REGION,EGBMCHP04N,2016, 45
REGION,EGBMCHP04N,2017, 45
REGION,EGBMCHP04N,2018, 45
REGION,EGBMCHP04N,2019, 45
REGION,EGBMCHP04N,2020, 45
REGION,EGBMCHP04N,2021, 6.2650000000000006e+01
REGION,EGBMCHP04N,2022, 7.9713828151730823e+01
REGION,EGBMCHP04N,2023, 7.9265997656496381e+01
REGION,EGBMCHP04N,2024, 7.8818167161261954e+01
REGION,EGBMCHP04N,2025, 78.3703366660275
REGION,EGBMCHP04N,2026, 7.7922506170793056e+01
REGION,EGBMCHP04N,2027, 7.7474675675558615e+01
REGION,EGBMCHP04N,2028, 7.7026845180324173e+01
REGION,EGBMCHP04N,2029, 7.6579014685089732e+01
REGION,EGBMCHP04N,2030, 7.6131184189855276e+01
REGION,EGBMCHP04N,2031, 7.6131184189855276e+01
REGION,EGBMCHP04N,2032, 7.6131184189855276e+01
REGION,EGBMCHP04N,2033, 7.6131184189855276e+01
REGION,EGBMCHP04N,2034, 7.6131184189855276e+01
REGION,EGBMCHP04N,2035, 7.6131184189855276e+01
REGION,EGBMCHP04N,2036, 7.6131184189855276e+01
REGION,EGBMCHP04N,2037, 7.6131184189855276e+01
REGION,EGBMCHP04N,2038, 7.6131184189855276e+01
REGION,EGBMCHP04N,2039, 7.6131184189855276e+01
