r,t,y,NumberOfNewTechnologyUnits
REGION,ETHYDBRS03,2027, 1
REGION,ETHYDBBS03,2062, 1
REGION,ETHYDCYS03,2059, 1
REGION,ETHYDGJS03,2055, 1
REGION,ETHYDKRS03,2050, 1
REGION,ETHYDLSS03,2069, 1
REGION,ETHYDRNS03,2023, 1
REGION,ETHYDTMS03,2069, 1
REGION,ETHYDT2S03,2025, 1
REGION,SDHYDDGS03,2028, 1
REGION,SDHYDDLS03,2030, 1
REGION,SDHYDKBS03,2024, 1
REGION,SDHYDMGS03,2030, 1
REGION,SDHYDSBS03,2030, 1
REGION,SDHYDSHS03,2025, 1
REGION,SDHYDUAS03,2017, 1
REGION,EGHYDNBS02,2018, 1
REGION,SSHYDBDS03,2039, 1
REGION,SSHYDLKS03,2024, 1
