,y,Coal power plant - OTF/OTS cooling (new),Oil fired gas turbine (SCGT) - Air cooling (new),Oil fired gas turbine (SCGT) - Air cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (new),Oil fired gas turbine (SCGT) - MDT cooling (old),Oil fired gas turbine (SCGT) - OTF/OTS cooling (old),Light Fuel Oil power plant - OTF/OTS cooling (new),Light Fuel Oil power plant - OTF/OTS cooling (old),Natural gas power plant (combined cycle) - Air cooling (new),Natural gas power plant (combined cycle) - Air cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (combined cycle) - MDT cooling (old),Natural gas power plant (combined cycle) - OTF/OTS cooling (new),Natural gas power plant (combined cycle) - OTF/OTS cooling (old),Natural gas power plant (single cycle) - MDT cooling (old),Natural gas power plant (single cycle) - OTF/OTS cooling (new),Natural gas power plant (single cycle) - OTF/OTS cooling (old)
0,2015.0,0.0,0.0,0.1401,1.0,0.121,1.012269,0.35,0.296592,0.6,2.205,0.0,0.76076,0.25,10.58078,2.32805,1.95,12.123019
1,2016.0,0.0,1.0,0.1401,1.0,0.121,1.012269,0.872,0.296592,0.6,2.205,0.0,0.76076,0.75,10.58078,2.32805,2.6,12.123019
2,2017.0,0.0,1.0,0.1401,1.0,0.121,1.012269,0.872,0.296592,0.6,2.205,0.0,0.76076,1.5,10.58078,2.32805,2.9299999999999997,12.123019
3,2018.0,0.0,1.0,0.1401,1.0,0.121,1.012269,0.872,0.296592,0.6,2.205,9.6,0.76076,6.3,10.58078,2.32805,4.88,12.123019
4,2019.0,0.0,1.0,0.1401,1.0,0.121,1.012269,0.872,0.296592,0.6,2.205,9.6,0.76076,6.3,10.58078,2.32805,4.88,12.123019
5,2020.0,0.0,1.0,0.1401,1.0,0.121,1.012269,0.872,0.296592,0.6,2.205,9.6,0.76076,6.3,10.58078,2.32805,4.88,12.123019
6,2021.0,0.0,1.0,0.133095,1.0,0.11495,0.96165555,0.872,0.2817624,0.6,2.09475,9.6,0.722722,6.3,10.051741,2.2116475,4.88,11.51686805
7,2022.0,0.0,1.0,0.12609,1.0,0.1089,0.9110421,0.872,0.2669328,0.6,1.9845,9.6,0.684684,6.3,9.522702,2.095245,4.88,10.9107171
8,2023.0,0.0,1.0,0.119085,1.0,0.10285,0.86042865,0.872,0.2521032,0.6,1.87425,9.6,0.646646,6.3,8.993663,1.9788425,4.88,10.30456615
9,2024.0,0.0,1.0,0.11208,1.0,0.0968,0.8098152,0.872,0.2372736,0.6,1.764,9.6,0.608608,6.3,8.464624,1.86244,4.88,9.6984152
10,2025.0,3.0,1.0,0.105075,1.0,0.09075,0.75920175,0.872,0.222444,0.6,1.65375,9.6,0.57057,6.3,7.935585,1.7460375,4.88,9.09226425
11,2026.0,6.0,1.0,0.09807,1.0,0.0847,0.7085883,0.872,0.2076144,0.6,1.5435,9.6,0.532532,6.3,7.406546,1.629635,4.88,8.4861133
12,2027.0,6.0,1.0,0.091065,1.0,0.07865,0.65797485,0.872,0.1927848,0.6,1.43325,9.6,0.494494,6.3,6.877507,1.5132325,4.88,7.87996235
13,2028.0,6.0,1.0,0.08406,1.0,0.0726,0.6073614,0.872,0.1779552,0.6,1.323,9.6,0.456456,6.3,6.348468,1.39683,4.88,7.2738114
14,2029.0,6.0,1.0,0.077055,1.0,0.06655,0.55674795,0.872,0.1631256,0.6,1.21275,9.6,0.418418,6.3,5.819429,1.2804275,4.88,6.66766045
15,2030.0,6.0,1.0,0.07005,1.0,0.0605,0.5061345,0.872,0.148296,0.6,1.1025,9.6,0.38038,6.3,5.29039,1.164025,4.88,6.0615095
16,2031.0,6.0,1.0,0.063045,1.0,0.05445,0.45552105,0.872,0.1334664,0.6,0.99225,9.6,0.342342,6.3,4.761351,1.0476225,4.88,5.45535855
17,2032.0,6.0,1.0,0.05604,1.0,0.0484,0.4049076,0.872,0.1186368,0.6,0.882,9.6,0.304304,6.3,4.232312,0.93122,4.88,4.8492076
18,2033.0,6.0,1.0,0.049035,1.0,0.04235,0.35429415,0.872,0.1038072,0.6,0.77175,9.6,0.266266,6.3,3.703273,0.8148175,4.88,4.24305665
19,2034.0,6.0,1.0,0.04203,1.0,0.0363,0.3036807,0.872,0.0889776,0.6,0.6615,9.6,0.228228,6.3,3.174234,0.698415,4.88,3.6369057
20,2035.0,6.0,1.0,0.035025,1.0,0.03025,0.25306725,0.872,0.074148,1.0323072371450457,0.55125,9.775071433813746,0.19019,6.3,2.645195,0.5820125,4.88,3.03075475
21,2036.0,7.0,1.0,0.02802,1.0,0.0242,0.2024538,0.872,0.0593184,1.0323072371450457,0.441,9.775071433813746,0.152152,7.27656835980596,2.116156,0.46561,4.88,2.4246038
22,2037.0,8.0,1.0,0.021015,1.0,0.01815,0.15184035,0.872,0.0444888,1.9401597507601789,0.33075,9.775071433813746,0.114114,7.321287207412423,1.587117,0.3492075,4.88,1.81845285
23,2038.0,9.0,1.0,0.01401,1.0,0.0121,0.1012269,0.872,0.0296592,2.883855004753467,0.2205,9.775071433813746,0.076076,7.321287207412423,1.058078,0.232805,4.88,1.2123019
