,y,Biomass & Waste CHP plant - OTF/OTS cooling (old),Coal power plant - Air cooling (new),Geothermal power plant - MDT cooling (new),Geothermal power plant - MDT cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (new),Small hydropower plant,Medium hydropower plant (Run-of river),Renaissance,Tis Abay 2,Tis Abay 1,Upper Mandaya,Light Fuel Oil stand alone (1kW),Light Fuel Oil power plant - MDT cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (single cycle) - Air cooling (new),Beko Abo FPV,Chemoga Yeda FPV,Karadobi FPV,Lake Tana FPV,Renaissance FPV,Upper Mandaya FPV,Solar PV (utility),Solar PV (roof top),Solar PV with storage,Wind (onshore)
0,2015.0,0.1962,0.0,0.0,0.0085,0.0,0.003008,0.09312,6.4,0.078,0.011,0.0,0.34980358648725646,0.141634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00916,0.001,0.0,0.32218
1,2016.0,0.1962,0.0,0.0,0.0085,0.0,0.003008,0.09312,6.4,0.078,0.011,0.0,0.42133988375492515,0.141634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00916,0.003,0.0,0.32218
2,2017.0,0.1962,0.0,0.0,0.0085,0.0,0.003008,0.09312,6.4,0.078,0.011,0.0,0.724476770858676,0.141634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00916,0.004,0.0,0.32218
3,2018.0,0.1962,0.0,0.0,0.0085,0.0,0.003008,0.09312,6.4,0.078,0.011,0.0,1.0279743974685982,0.141634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00916,0.004,0.0,0.32218
4,2019.0,0.1962,0.0,0.0,0.0085,0.0,0.003008,0.09312,6.4,0.078,0.011,0.0,1.0279743974685982,0.141634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00916,0.004,0.0,0.32218
5,2020.0,0.1962,0.0,0.12,0.0085,0.0,0.003008,0.09312,6.4,0.078,0.011,0.0,1.0279743974685982,0.141634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008702,0.004,0.0,0.32218
6,2021.0,0.18639,0.0,0.29000000000000004,0.0085,0.0,0.003008,0.09312,6.4,0.078,0.011,0.0,1.0279743974685982,0.1345523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008244,0.004,0.0,0.313621
7,2022.0,0.17658,0.0,0.39,0.0085,0.0,0.003008,0.09312,6.4,0.078,0.011,0.0,1.0279743974685982,0.1274706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007786,0.004,0.0,0.305062
8,2023.0,0.16677,0.0,0.5900000000000001,0.0085,0.0,0.003008,0.09312,6.4,0.078,0.011,0.0,1.0279743974685982,0.1203889,0.0,0.053938408913994734,0.0,0.0,0.0,0.0,0.0,0.0,0.007328,0.004,0.0,0.29650299999999996
9,2024.0,0.15696,0.0,0.8400000000000001,0.0085,0.0,0.003008,0.09312,6.4,0.078,0.011,0.0,1.0279743974685982,0.1133072,0.0,0.1008073443241635,0.0,0.0,0.0,0.0,0.0,0.0,0.00687,0.004,0.0,0.287944
10,2025.0,0.0981,0.0,1.04,0.0085,0.0,0.003008,0.09312,6.4,0.078,0.011,0.0,0.6781708109813418,0.1062255,0.0,0.23626283545097881,0.0,0.0,0.0,0.0,0.0,0.0,0.006412,0.004,0.0,0.279385
11,2026.0,0.08829,0.0,1.04,0.008075,0.0,0.003008,0.09312,6.4,0.078,0.011,0.0,0.606634513713673,0.0991438,0.0,0.5434014604477037,0.0,0.0,0.0,0.0,0.0,0.0,0.005954,0.004,0.0,0.270826
12,2027.0,0.07848,0.0,1.04,0.00765,0.0,0.003008,0.09312,6.4,0.078,0.011,0.0,0.30349762660992224,0.0920621,0.0,0.8704812810234858,0.0,0.0,0.0,0.0,0.0,0.0,0.005496,0.004,0.0,0.26226700000000003
13,2028.0,0.06867,0.0,1.04,0.007225,6.545471682125361e-05,0.003008,0.09312,6.4,0.078,0.011,0.0,0.0,0.0849804,0.2705864879988703,0.9480746436463449,0.0,0.0,0.0,0.0,0.0,0.0,0.005038,0.004,0.0,0.253708
