,y,CSP (without storage),CSP (with storage),Solar PV (utility),Solar PV (roof top),Solar PV with storage,Solar FPV
8,2023.0,5.1926,6.5328,6.2748,1.0011,1.4742,0.9434
9,2024.0,5.1926,6.5328,7.9432,1.0011,1.4742,0.9434
10,2025.0,5.1926,6.5328,9.6117,2.0023,2.9483,6.3503
11,2026.0,5.1926,6.5328,10.9879,2.0023,2.9483,6.3503
12,2027.0,5.1926,6.5328,12.05,2.0023,2.9483,6.3503
13,2028.0,5.1926,6.5328,13.7185,2.0023,2.9483,6.3503
14,2029.0,5.1926,6.5328,15.387,2.0023,2.9483,6.3503
15,2030.0,5.1926,6.5328,17.0555,3.6708,5.4053,6.3503
16,2031.0,5.1926,6.5328,20.3926,4.0045,5.8967,6.3503
17,2032.0,5.1926,6.5328,23.7296,4.3382,6.3881,6.3503
18,2033.0,5.1926,6.5328,27.0667,4.6719,6.8795,6.3503
19,2034.0,5.1926,6.5328,30.4037,5.0057,7.3709,6.3503
20,2035.0,5.1926,6.5328,33.7407,5.3394,7.8623,8.4507
21,2036.0,5.1926,6.5328,37.0778,5.6731,8.3536,11.1022
22,2037.0,5.1926,6.5328,40.4148,6.0068,8.845,13.2026
23,2038.0,5.1926,6.5328,43.7519,6.3405,9.3364,15.302999999999999
24,2039.0,5.1926,6.5328,47.0889,6.6742,9.8278,17.403399999999998
25,2040.0,5.1926,6.5328,50.3593,7.0079,10.3192,18.5604
26,2041.0,5.1926,6.5328,55.1647,7.3416,10.8106,18.5604
27,2042.0,5.1926,6.5328,60.1704,7.6753,11.302,18.5604
28,2043.0,5.1926,6.5328,64.8424,8.0091,11.7934,18.5604
29,2044.0,5.1926,6.5328,69.848,8.3428,12.2848,18.5604
30,2045.0,5.1926,6.5328,74.1862,8.6765,12.7762,18.5604
31,2046.0,0.0,0.0,77.5233,9.0102,13.2675,18.5604
32,2047.0,0.0,0.0,80.8604,9.3439,13.7589,18.5604
33,2048.0,1.7405,0.0,84.1975,9.6776,14.2503,18.5604
34,2049.0,1.7405,0.0,87.5346,10.0113,14.7417,18.5604
35,2050.0,13.2036,0.0,90.8717,10.345,15.2331,18.5604
36,2051.0,32.6757,0.0,94.5012,10.6787,15.7245,18.5604
37,2052.0,52.1478,0.0,98.4447,11.0125,16.2159,18.5604
38,2053.0,71.6199,4.8996,101.7818,11.3462,16.7073,18.5604
39,2054.0,90.8699,29.3978,105.1189,11.6799,17.1987,18.5604
40,2055.0,93.4662,53.896,108.456,12.0136,17.6901,18.5604
41,2056.0,96.0625,78.3941,110.1245,12.3473,18.1815,18.5604
42,2057.0,98.6587,102.8923,111.7931,12.681,18.6728,18.5604
43,2058.0,101.255,127.3905,113.4616,13.0147,19.1642,18.5604
44,2059.0,103.8513,130.6569,115.1302,13.3484,19.6556,18.5604
45,2060.0,106.4476,133.9233,116.7987,13.6821,20.147,18.5604
46,2061.0,109.0439,137.1898,120.1359,14.0158,20.6384,18.5604
47,2062.0,111.6402,140.4562,123.473,14.3496,21.1298,18.5604
48,2063.0,114.2364,143.7226,126.8101,14.6833,21.6212,18.5604
49,2064.0,116.8327,146.989,130.1472,15.017,22.1126,18.5604
50,2065.0,119.429,150.2554,133.4843,15.3507,22.604,18.5604
51,2066.0,122.0253,153.5219,135.1528,15.6844,23.0954,18.5604
52,2067.0,124.6216,156.7883,136.8214,16.0181,23.5868,18.5604
53,2068.0,127.2179,160.0547,138.4899,16.3518,24.0781,18.5604
54,2069.0,129.8141,163.3211,140.1585,16.6855,24.5695,18.5604
55,2070.0,132.4104,166.5876,141.827,17.0192,25.0609,18.5604
