,y,Amarti-Neshe,Birbir,Baro,Chemoga Yeda,Finchaa,Genji,Karadobi,Lower Dabus,Lower Dedessa,Lake Tana - Beles,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Renaissance,Sor,Tis Abay 1,Tekeze 1,Tis Abay 2,Tekeze 2,Tams,Upper Mandaya
0,2015,32.9068,0.0,0.0,0.0,41.8418,0.0,0.0,0.0,0.0,151.3735,37.9427,214.181,0.0,1.6897,7.8013,212.7626,55.3183,0.0,0.0,0.0
1,2016,32.9068,0.0,0.0,0.0,41.8418,0.0,0.0,0.0,0.0,151.3735,37.9427,214.181,0.0,1.6897,7.8013,212.7626,55.3183,0.0,0.0,0.0
2,2017,12.9895,0.0,0.0,0.0,36.5778,0.0,0.0,0.0,0.0,59.7527,37.9427,877.291,0.0,0.667,3.0795,206.7885,55.3183,0.0,0.0,0.0
3,2018,32.9068,0.0,0.0,0.0,41.8418,0.0,0.0,0.0,0.0,137.8244,37.9427,877.291,0.0,0.667,3.0795,212.7626,55.3183,0.0,0.0,0.0
4,2019,32.9068,0.0,0.0,0.0,41.8418,0.0,0.0,0.0,0.0,151.3735,37.9427,877.291,0.0,1.6897,7.8013,212.7626,55.3183,0.0,0.0,0.0
5,2020,32.9068,0.0,0.0,0.0,41.8418,0.0,0.0,0.0,0.0,151.3735,37.9427,877.291,0.0,1.6897,7.8013,212.7626,55.3183,0.0,0.0,0.0
6,2021,32.9068,0.0,0.0,0.0,41.8418,0.0,0.0,0.0,0.0,151.3735,37.9427,877.291,0.0,1.6897,7.8013,212.7626,55.3183,0.0,0.0,0.0
7,2022,32.9068,0.0,0.0,0.0,41.8418,0.0,0.0,0.0,0.0,151.3735,37.9427,877.291,0.0,1.6897,7.8013,212.7626,55.3183,0.0,0.0,0.0
8,2023,32.9068,0.0,0.0,0.0,41.8418,0.0,0.0,0.0,0.0,151.3735,37.9427,1121.2587,1266.3255,1.6897,7.8013,212.7626,55.3183,0.0,0.0,0.0
9,2024,32.9068,0.0,0.0,0.0,41.8418,0.0,0.0,0.0,0.0,151.3735,37.9427,1121.2587,1266.3255,1.6897,7.8013,212.7626,55.3183,0.0,0.0,0.0
10,2025,32.9068,0.0,0.0,0.0,41.8418,0.0,0.0,0.0,0.0,151.3735,37.9427,1099.4851,1266.3255,1.6897,7.8013,212.7626,55.3183,269.4993,0.0,0.0
